v8-version,8,8,278,14,0
shared-library,/Users/shuai/github/v8-cmake/demo/../cmake-build-debug/d8,0x1015afb00,0x103846960,22732800
shared-library,/usr/lib/libc++.1.dylib,0x7fff65494990,0x7fff654dc2c0,16211968
shared-library,/usr/lib/libSystem.B.dylib,0x7fff651ae6b5,0x7fff651aeace,16211968
shared-library,/usr/lib/libc++abi.dylib,0x7fff654e76f0,0x7fff654f8ff4,16211968
shared-library,/usr/lib/system/libcache.dylib,0x7fff67fab7c8,0x7fff67fae3ab,16211968
shared-library,/usr/lib/system/libcommonCrypto.dylib,0x7fff67fb0f40,0x7fff67fba8cc,16211968
shared-library,/usr/lib/system/libcompiler_rt.dylib,0x7fff67fbd1c8,0x7fff67fc1bc5,16211968
shared-library,/usr/lib/system/libcopyfile.dylib,0x7fff67fc4e40,0x7fff67fcc1cc,16211968
shared-library,/usr/lib/system/libcorecrypto.dylib,0x7fff67fcf100,0x7fff68042278,16211968
shared-library,/usr/lib/system/libdispatch.dylib,0x7fff6816de70,0x7fff6819f436,16211968
shared-library,/usr/lib/system/libdyld.dylib,0x7fff681aee00,0x7fff681dc750,16211968
shared-library,/usr/lib/system/libkeymgr.dylib,0x7fff681e5a4f,0x7fff681e5e90,16211968
shared-library,/usr/lib/system/liblaunch.dylib,0x7fff681f3fc0,0x7fff681f3fc0,16211968
shared-library,/usr/lib/system/libmacho.dylib,0x7fff681f53c4,0x7fff681f98ab,16211968
shared-library,/usr/lib/system/libquarantine.dylib,0x7fff681fafe9,0x7fff681fcbd0,16211968
shared-library,/usr/lib/system/libremovefile.dylib,0x7fff681fd860,0x7fff681febe6,16211968
shared-library,/usr/lib/system/libsystem_asl.dylib,0x7fff68200980,0x7fff6821508d,16211968
shared-library,/usr/lib/system/libsystem_blocks.dylib,0x7fff6821788b,0x7fff68217cf0,16211968
shared-library,/usr/lib/system/libsystem_c.dylib,0x7fff68219b4c,0x7fff68297fde,16211968
shared-library,/usr/lib/system/libsystem_configuration.dylib,0x7fff682a0ea4,0x7fff682a36b0,16211968
shared-library,/usr/lib/system/libsystem_coreservices.dylib,0x7fff682a4e80,0x7fff682a72a3,16211968
shared-library,/usr/lib/system/libsystem_darwin.dylib,0x7fff682a95c0,0x7fff682ae64a,16211968
shared-library,/usr/lib/system/libsystem_dnssd.dylib,0x7fff682b274c,0x7fff682b72cc,16211968
shared-library,/usr/lib/system/libsystem_featureflags.dylib,0x7fff682b9cde,0x7fff682bacbe,16211968
shared-library,/usr/lib/system/libsystem_info.dylib,0x7fff682bc1d0,0x7fff6830480a,16211968
shared-library,/usr/lib/system/libsystem_m.dylib,0x7fff68337080,0x7fff68363367,16211968
shared-library,/usr/lib/system/libsystem_malloc.dylib,0x7fff6837ece0,0x7fff6839f160,16211968
shared-library,/usr/lib/system/libsystem_networkextension.dylib,0x7fff683a72d9,0x7fff683b1474,16211968
shared-library,/usr/lib/system/libsystem_notify.dylib,0x7fff683b55de,0x7fff683bcd9e,16211968
shared-library,/usr/lib/system/libsystem_sandbox.dylib,0x7fff683d3554,0x7fff683d644e,16211968
shared-library,/usr/lib/system/libsystem_secinit.dylib,0x7fff683d8124,0x7fff683d93dc,16211968
shared-library,/usr/lib/system/libsystem_kernel.dylib,0x7fff68309b00,0x7fff6832ba14,16211968
shared-library,/usr/lib/system/libsystem_platform.dylib,0x7fff683be7a0,0x7fff683c47b6,16211968
shared-library,/usr/lib/system/libsystem_pthread.dylib,0x7fff683c7e3c,0x7fff683cfc75,16211968
shared-library,/usr/lib/system/libsystem_symptoms.dylib,0x7fff683dad85,0x7fff683e03fc,16211968
shared-library,/usr/lib/system/libsystem_trace.dylib,0x7fff683e3510,0x7fff683f5c2e,16211968
shared-library,/usr/lib/system/libunwind.dylib,0x7fff683faa0c,0x7fff683ff24f,16211968
shared-library,/usr/lib/system/libxpc.dylib,0x7fff68401e30,0x7fff68428413,16211968
shared-library,/usr/lib/libobjc.A.dylib,0x7fff6700e940,0x7fff67032987,16211968
profiler,begin,1000
tick,0x117c87e40,731,0,0x0,6
tick,0x1017fed8d,2020,0,0x0,6
tick,0x1015bda67,3049,0,0x0,6
tick,0x7fff683bed60,4329,0,0x0,6
tick,0x101ccdca4,5653,0,0x0,6
tick,0x10180e015,6903,0,0x0,6
tick,0x1029d712d,8148,0,0x0,6
tick,0x1016066dc,9402,0,0x0,6
code-creation,Builtin,2,10291,0x103434860,1620,RecordWrite
code-creation,Builtin,2,10345,0x103434ec0,416,EphemeronKeyBarrier
code-creation,Builtin,2,10360,0x103435080,36,AdaptorWithBuiltinExitFrame
code-creation,Builtin,2,10372,0x1034350c0,252,ArgumentsAdaptorTrampoline
code-creation,Builtin,2,10384,0x1034351c0,212,CallFunction_ReceiverIsNullOrUndefined
code-creation,Builtin,2,10409,0x1034352a0,264,CallFunction_ReceiverIsNotNullOrUndefined
code-creation,Builtin,2,10420,0x1034353c0,292,CallFunction_ReceiverIsAny
code-creation,Builtin,2,10430,0x103435500,104,CallBoundFunction
code-creation,Builtin,2,10438,0x103435580,112,Call_ReceiverIsNullOrUndefined
code-creation,Builtin,2,10448,0x103435600,112,Call_ReceiverIsNotNullOrUndefined
code-creation,Builtin,2,10458,0x103435680,112,Call_ReceiverIsAny
code-creation,Builtin,2,10467,0x103435700,488,Call_ReceiverIsNullOrUndefined_WithFeedback
code-creation,Builtin,2,10477,0x103435900,488,Call_ReceiverIsNotNullOrUndefined_WithFeedback
code-creation,Builtin,2,10488,0x103435b00,488,Call_ReceiverIsAny_WithFeedback
code-creation,Builtin,2,10516,0x103435d00,752,CallProxy
code-creation,Builtin,2,10525,0x103436000,120,CallVarargs
code-creation,Builtin,2,10537,0x103436080,972,CallWithSpread
code-creation,Builtin,2,10546,0x103436460,1528,CallWithSpread_WithFeedback
code-creation,Builtin,2,10557,0x103436a60,884,CallWithArrayLike
code-creation,Builtin,2,10568,0x103436de0,1388,CallWithArrayLike_WithFeedback
code-creation,Builtin,2,10578,0x103437360,160,CallForwardVarargs
code-creation,Builtin,2,10589,0x103437420,160,CallFunctionForwardVarargs
code-creation,Builtin,2,10600,0x1034374e0,136,CallFunctionTemplate_CheckAccess
code-creation,Builtin,2,10611,0x103437580,220,CallFunctionTemplate_CheckCompatibleReceiver
code-creation,Builtin,2,10623,0x103437660,312,CallFunctionTemplate_CheckAccessAndCompatibleReceiver
code-creation,Builtin,2,10639,0x1034377a0,28,ConstructFunction
code-creation,Builtin,2,10648,0x1034377c0,104,ConstructBoundFunction
code-creation,Builtin,2,10659,0x103437840,28,ConstructedNonConstructable
code-creation,Builtin,2,10679,0x103437860,92,Construct
code-creation,Builtin,2,10687,0x1034378c0,120,ConstructVarargs
code-creation,Builtin,2,10696,0x103437940,996,ConstructWithSpread
code-creation,Builtin,2,10705,0x103437d40,1848,ConstructWithSpread_WithFeedback
code-creation,Builtin,2,10716,0x103438480,948,ConstructWithArrayLike
code-creation,Builtin,2,10726,0x103438840,1768,ConstructWithArrayLike_WithFeedback
code-creation,Builtin,2,10738,0x103438f40,200,ConstructForwardVarargs
code-creation,Builtin,2,10747,0x103439020,200,ConstructFunctionForwardVarargs
code-creation,Builtin,2,10759,0x103439100,864,Construct_WithFeedback
code-creation,Builtin,2,10770,0x103439480,340,JSConstructStubGeneric
code-creation,Builtin,2,10779,0x1034395e0,240,JSBuiltinsConstructStub
code-creation,Builtin,2,10790,0x1034396e0,688,FastNewObject
code-creation,Builtin,2,10800,0x1034399a0,300,FastNewClosure
code-creation,Builtin,2,10809,0x103439ae0,732,ConstructProxy
code-creation,Builtin,2,10819,0x103439dc0,180,JSEntry
code-creation,Builtin,2,10829,0x103439e80,180,JSConstructEntry
code-creation,Builtin,2,10839,0x103439f40,180,JSRunMicrotasksEntry
code-creation,Builtin,2,10850,0x10343a000,96,JSEntryTrampoline
code-creation,Builtin,2,10861,0x10343a080,96,JSConstructEntryTrampoline
code-creation,Builtin,2,10873,0x10343a100,304,ResumeGeneratorTrampoline
code-creation,Builtin,2,10884,0x10343a240,1052,StringCodePointAt
code-creation,Builtin,2,10895,0x10343a660,1500,StringFromCodePointAt
code-creation,Builtin,2,10906,0x10343ac40,544,StringEqual
code-creation,Builtin,2,10918,0x10343ae80,276,StringGreaterThan
code-creation,Builtin,2,10929,0x10343afa0,276,StringGreaterThanOrEqual
code-creation,Builtin,2,10941,0x10343b0c0,1048,StringIndexOf
code-creation,Builtin,2,10951,0x10343b4e0,276,StringLessThan
code-creation,Builtin,2,10963,0x10343b600,276,StringLessThanOrEqual
code-creation,Builtin,2,10973,0x10343b720,2484,StringSubstring
code-creation,Builtin,2,10984,0x10343c0e0,84,OrderedHashTableHealIndex
code-creation,Builtin,2,10995,0x10343c140,952,InterpreterEntryTrampoline
code-creation,Builtin,2,11005,0x10343c500,80,InterpreterPushArgsThenCall
tick,0x7fff683c890e,11021,0,0x0,6
code-creation,Builtin,2,11039,0x10343c560,88,InterpreterPushUndefinedAndArgsThenCall
code-creation,Builtin,2,11066,0x10343c5c0,88,InterpreterPushArgsThenCallWithFinalSpread
code-creation,Builtin,2,11090,0x10343c620,80,InterpreterPushArgsThenConstruct
code-creation,Builtin,2,11101,0x10343c680,80,InterpreterPushArgsThenConstructArrayFunction
code-creation,Builtin,2,11112,0x10343c6e0,88,InterpreterPushArgsThenConstructWithFinalSpread
code-creation,Builtin,2,11124,0x10343c740,216,InterpreterEnterBytecodeAdvance
code-creation,Builtin,2,11133,0x10343c820,84,InterpreterEnterBytecodeDispatch
code-creation,Builtin,2,11143,0x10343c880,52,InterpreterOnStackReplacement
code-creation,Builtin,2,11153,0x10343c8c0,1016,CompileLazy
code-creation,Builtin,2,11164,0x10343ccc0,84,CompileLazyDeoptimizedCode
code-creation,Builtin,2,11173,0x10343cd20,216,InstantiateAsmJs
code-creation,Builtin,2,11182,0x10343ce00,32,NotifyDeoptimized
code-creation,Builtin,2,11191,0x10343ce40,788,DeoptimizationEntry_Eager
code-creation,Builtin,2,11200,0x10343d160,792,DeoptimizationEntry_Soft
code-creation,Builtin,2,11209,0x10343d480,792,DeoptimizationEntry_Bailout
